,b,c,e,f,g,h,i,m,n
0,ASSD2375,27,South Andaman,Port Blair,Port Blair,Port Blair#South Andaman,A,Port Blair (Port Blair),Port Blair (Port Blair)
1,OJLL1583,23,Anantapur,Anantapur,"P. Ramacharyulu Park,RBZ","P. Ramacharyulu Park,RBZ#Anantapur",A,"P. Ramacharyulu Park,RBZ (Anantapur)","Anantapur (P. Ramacharyulu Park,RBZ)"
2,UTUR2153,23,Chittor,Tirupati,Tirupati,Tirupati#Chittor,A,Tirupati (Tirupati),Tirupati (Tirupati)
3,PRCF8056,23,Kurnool,Dhone,Dhone,Dhone#Kurnool,A,Dhone (Dhone),Dhone (Dhone)
4,TMMA7753,28,East Siang,Dhone,Pasighat,Pasighat#East Siang,A,Pasighat (Dhone),Dhone (Pasighat)
5,QVUX7770,16,Barpeta,Barpeta Sub-District,Howly,Howly#Barpeta,A,Howly (Barpeta Sub-District),Barpeta Sub-District (Howly)
6,SZNH2680,16,Dhubri,Dhubri,Gauripur,Gauripur#Dhubri,A,Gauripur (Dhubri),Dhubri (Gauripur)
7,USGU5955,16,Dibrugarh,Dibrugarh,Dibrugarh,Dibrugarh#Dibrugarh,A,Dibrugarh (Dibrugarh),Dibrugarh (Dibrugarh)
8,NCWT3253,16,Jorhat,Jorhat,Jorhat,Jorhat#Jorhat,A,Jorhat (Jorhat),Jorhat (Jorhat)
9,DBQK7296,16,Nagaon,Lanka,Lanka,Lanka#Nagaon,A,Lanka (Lanka),Lanka (Lanka)
10,HPXP1807,16,Sibsagar,Sivasagar,Sivasagar,Sivasagar#Sibsagar,A,Sivasagar (Sivasagar),Sivasagar (Sivasagar)
11,NLGN7895,16,Tinsukia,Tinsukia,Tinsukia,Tinsukia#Tinsukia,A,Tinsukia (Tinsukia),Tinsukia (Tinsukia)
12,XVXA8166,19,Chhapra,Chapra,Chhapra,Chhapra#Chhapra,A,Chhapra (Chapra),Chapra (Chhapra)
13,ZPSE1953,19,Madhepura,Bihariganj,Bihariganj,Bihariganj#Madhepura,A,Bihariganj (Bihariganj),Bihariganj (Bihariganj)
14,SMFH5869,19,Patna,Patna,Patna (Musallahpur),Patna (Musallahpur)#Patna,A,Patna (Musallahpur) (Patna),Patna (Patna (Musallahpur))
15,LVZP8557,19,Patna,Patna,Patna City,Patna City#Patna,A,Patna City (Patna),Patna (Patna City)
16,DSBK1342,25,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Chandigarh(Grain/Fruit)#Chandigarh,A,Chandigarh(Grain/Fruit) (Chandigarh),Chandigarh (Chandigarh(Grain/Fruit))
17,QCIO9814,18,Bilaspur,Bilaspur,Bilaspur,Bilaspur#Bilaspur,A,Bilaspur (Bilaspur),Bilaspur (Bilaspur)
18,YDBV9913,18,Durg,Durg,Durg,Durg#Durg,A,Durg (Durg),Durg (Durg)
19,EZML1473,18,Raipur,Simga,Navapara,Navapara#Raipur,A,Navapara (Simga),Simga (Navapara)
20,GAFM9610,18,Rajnandgaon,Khairagarh,Kheragarh,Kheragarh#Rajnandgaon,A,Kheragarh (Khairagarh),Khairagarh (Kheragarh)
21,LDHC6965,18,Rajnandgaon,Rajnandgaon,Rajnandgaon,Rajnandgaon#Rajnandgaon,A,Rajnandgaon (Rajnandgaon),Rajnandgaon (Rajnandgaon)
22,ZDBO9565,21,Delhi,Delhi,Azadpur,Azadpur#Delhi,A,Azadpur (Delhi),Delhi (Azadpur)
23,ZLUI2030,21,Delhi,Delhi,Keshopur,Keshopur#Delhi,A,Keshopur (Delhi),Delhi (Keshopur)
24,OKZM3016,21,Delhi,Delhi,Shahdara,Shahdara#Delhi,A,Shahdara (Delhi),Delhi (Shahdara)
25,YZZE4264,21,Rajouri,Delhi,Rajouri (F&V),Rajouri (F&V)#Rajouri,A,Rajouri (F&V) (Delhi),Delhi (Rajouri (F&V))
26,EBWC2520,30,North Goa,Bardez,Mapusa,Mapusa#North Goa,A,Mapusa (Bardez),Bardez (Mapusa)
27,QYAO5181,11,Ahmedabad,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)","Ahmedabad(Fruit Market, Naroda)#Ahmedabad",A,"Ahmedabad(Fruit Market, Naroda) (Ahmedabad)","Ahmedabad (Ahmedabad(Fruit Market, Naroda))"
28,ZLZV3140,11,Ahmedabad,Ahmedabad,Ahmedabad(Manekchowk),Ahmedabad(Manekchowk)#Ahmedabad,A,Ahmedabad(Manekchowk) (Ahmedabad),Ahmedabad (Ahmedabad(Manekchowk))
29,JTDN8374,11,Banaskanth,Deesa,Deesa,Deesa#Banaskanth,A,Deesa (Deesa),Deesa (Deesa)
30,KFYI3843,11,Banaskanth,Deesa,Deesa(Deesa Veg Yard),Deesa(Deesa Veg Yard)#Banaskanth,A,Deesa(Deesa Veg Yard) (Deesa),Deesa (Deesa(Deesa Veg Yard))
31,DXTR5273,11,Bharuch,Bharuch,Bharuch,Bharuch#Bharuch,A,Bharuch (Bharuch),Bharuch (Bharuch)
32,NIVN2940,11,Gandhinagar,Mansa,Mansa,Mansa#Gandhinagar,A,Mansa (Mansa),Mansa (Mansa)
33,ZVCR4132,11,Junagarh,Junagadh,Junagadh,Junagadh#Junagarh,A,Junagadh (Junagadh),Junagadh (Junagadh)
34,STFP6834,11,Junagarh,Keshod,Keshod,Keshod#Junagarh,A,Keshod (Keshod),Keshod (Keshod)
35,XQSA5574,11,Kachchh,Anjar,"Anjar(Veg,Sub Yard)","Anjar(Veg,Sub Yard)#Kachchh",A,"Anjar(Veg,Sub Yard) (Anjar)","Anjar (Anjar(Veg,Sub Yard))"
36,ZRQB8273,11,Kachchh,Mandvi,K.Mandvi,K.Mandvi#Kachchh,A,K.Mandvi (Mandvi),Mandvi (K.Mandvi)
37,VITK5765,11,Patan,Sidhpur,Siddhpur,Siddhpur#Patan,A,Siddhpur (Sidhpur),Sidhpur (Siddhpur)
38,TNZG5193,11,Rajkot,Gondal,Gondal,Gondal#Rajkot,A,Gondal (Gondal),Gondal (Gondal)
39,MLDL8341,11,Rajkot,Gondal,Gondal(Veg.market Gondal),Gondal(Veg.market Gondal)#Rajkot,A,Gondal(Veg.market Gondal) (Gondal),Gondal (Gondal(Veg.market Gondal))
40,JCXY9321,11,Surendranagar,Lakhtar,Lakhtar,Lakhtar#Surendranagar,A,Lakhtar (Lakhtar),Lakhtar (Lakhtar)
41,CTDC6720,11,Vadodara(Baroda),Vadodara,Vadodara,Vadodara#Vadodara(Baroda),A,Vadodara (Vadodara),Vadodara (Vadodara)
42,XSIF2385,11,Vadodara(Baroda),Vadodara,Vadodara(Navapura),Vadodara(Navapura)#Vadodara(Baroda),A,Vadodara(Navapura) (Vadodara),Vadodara (Vadodara(Navapura))
43,HKCX9836,3,Ambala,Ambala,Ambala Cantt.,Ambala Cantt.#Ambala,A,Ambala Cantt. (Ambala),Ambala (Ambala Cantt.)
44,ATUE5212,3,Ambala,Ambala,Ambala City,Ambala City#Ambala,A,Ambala City (Ambala),Ambala (Ambala City)
45,VNNN8888,3,Ambala,Ambala,Ambala City(Subji Mandi),Ambala City(Subji Mandi)#Ambala,A,Ambala City(Subji Mandi) (Ambala),Ambala (Ambala City(Subji Mandi))
46,WZIH4081,3,Ambala,Barara Sub-District,Barara,Barara#Ambala,A,Barara (Barara Sub-District),Barara Sub-District (Barara)
47,RSWV3810,3,Ambala,Barara Sub-District,Mullana,Mullana#Ambala,A,Mullana (Barara Sub-District),Barara Sub-District (Mullana)
48,ZHEY1624,3,Ambala,Naraingarh,Naraingarh,Naraingarh#Ambala,A,Naraingarh (Naraingarh),Naraingarh (Naraingarh)
49,HQOM2632,3,Ambala,Naraingarh Sub-District,Shahzadpur,Shahzadpur#Ambala,A,Shahzadpur (Naraingarh Sub-District),Naraingarh Sub-District (Shahzadpur)
50,ZSOS2960,3,Bhiwani,Loharu,Behal,Behal#Bhiwani,A,Behal (Loharu),Loharu (Behal)
51,DIAC3526,3,Bhiwani,Tosham,Bhiwani,Bhiwani#Bhiwani,A,Bhiwani (Tosham),Tosham (Bhiwani)
52,UHCY8283,3,Bhiwani,Charkhi Dadri,Ch. Dadri,Ch. Dadri#Bhiwani,A,Ch. Dadri (Charkhi Dadri),Charkhi Dadri (Ch. Dadri)
53,VJGG9773,3,Bhiwani,Bhiwani Sub-District,Jui,Jui#Bhiwani,A,Jui (Bhiwani Sub-District),Bhiwani Sub-District (Jui)
54,OOIO5235,3,Bhiwani,Loharu,Loharu,Loharu#Bhiwani,A,Loharu (Loharu),Loharu (Loharu)
55,ZCBT8325,3,Bhiwani,Siwani,Siwani,Siwani#Bhiwani,A,Siwani (Siwani),Siwani (Siwani)
56,ZFFO6479,3,Bhiwani,Tosham,Tosham,Tosham#Bhiwani,A,Tosham (Tosham),Tosham (Tosham)
57,QHIJ6256,3,Faridabad,Faridabad,Ballabhgarh,Ballabhgarh#Faridabad,A,Ballabhgarh (Faridabad),Faridabad (Ballabhgarh)
58,MGAL2773,3,Faridabad,Faridabad,Faridabad,Faridabad#Faridabad,A,Faridabad (Faridabad),Faridabad (Faridabad)
59,WAXK3492,3,Fatehabad,Fatehabad Sub-District,Bhuna,Bhuna#Fatehabad,A,Bhuna (Fatehabad Sub-District),Fatehabad Sub-District (Bhuna)
60,QJQF6718,3,Fatehabad,Fatehabad,Fatehabad,Fatehabad#Fatehabad,A,Fatehabad (Fatehabad),Fatehabad (Fatehabad)
61,GPYB3191,3,Fatehabad,Tohana Sub-District,Jakhal,Jakhal#Fatehabad,A,Jakhal (Tohana Sub-District),Tohana Sub-District (Jakhal)
62,KWPI8608,3,Fatehabad,Ratia,Ratia,Ratia#Fatehabad,A,Ratia (Ratia),Ratia (Ratia)
63,JRRX6303,3,Fatehabad,Tohana,Tohana,Tohana#Fatehabad,A,Tohana (Tohana),Tohana (Tohana)
64,YFGJ5204,3,Fatehabad,Tohana,Tohana(New Veg Market),Tohana(New Veg Market)#Fatehabad,A,Tohana(New Veg Market) (Tohana),Tohana (Tohana(New Veg Market))
65,ZGQK9911,3,Gorakhpur,Fatehabad Sub-District,Gorakhpur,Gorakhpur#Gorakhpur,A,Gorakhpur (Fatehabad Sub-District),Fatehabad Sub-District (Gorakhpur)
66,VQPJ7723,3,Gurgaon,Gurugram,Gurgaon,Gurgaon#Gurgaon,A,Gurgaon (Gurugram),Gurugram (Gurgaon)
67,ENYU5202,3,Gurgaon,Pataudi,Pataudi,Pataudi#Gurgaon,A,Pataudi (Pataudi),Pataudi (Pataudi)
68,ZKXV9955,3,Gurgaon,Ferozepur Jhirka,Rerozepur Zhirka,Rerozepur Zhirka#Gurgaon,A,Rerozepur Zhirka (Ferozepur Jhirka),Ferozepur Jhirka (Rerozepur Zhirka)
69,WXEM1373,3,Gurgaon,Sohna,Sohna,Sohna#Gurgaon,A,Sohna (Sohna),Sohna (Sohna)
70,TYNE4541,3,Hissar,Adampur,Adampur,Adampur#Hissar,A,Adampur (Adampur),Adampur (Adampur)
71,NIBW8873,3,Hissar,Barwala,Barwala(Hisar),Barwala(Hisar)#Hissar,A,Barwala(Hisar) (Barwala),Barwala (Barwala(Hisar))
72,THLZ6116,3,Hissar,Hansi,Hansi,Hansi#Hissar,A,Hansi (Hansi),Hansi (Hansi)
73,MUNT7071,3,Hissar,Hisar,Hissar,Hissar#Hissar,A,Hissar (Hisar),Hisar (Hissar)
74,SJIW7545,3,Hissar,Narnaund,Narnaund,Narnaund#Hissar,A,Narnaund (Narnaund),Narnaund (Narnaund)
75,YUQV2398,3,Hissar,Ratia,Rattia,Rattia#Hissar,A,Rattia (Ratia),Ratia (Rattia)
76,XSLS5020,3,Hissar,Hisar Sub-District,Uklana,Uklana#Hissar,A,Uklana (Hisar Sub-District),Hisar Sub-District (Uklana)
77,QVJS5280,3,Jhajar,Bahadurgarh,Bahadurgarh,Bahadurgarh#Jhajar,A,Bahadurgarh (Bahadurgarh),Bahadurgarh (Bahadurgarh)
78,TVZL3207,3,Jhajar,Jhajjar,Jhajjar,Jhajjar#Jhajar,A,Jhajjar (Jhajjar),Jhajjar (Jhajjar)
79,GFXV6439,3,Jind,Jind,Jind,Jind#Jind,A,Jind (Jind),Jind (Jind)
80,ICYR6592,3,Jind,Narwana,Narwana,Narwana#Jind,A,Narwana (Narwana),Narwana (Narwana)
81,ROJQ4593,3,Jind,Safidon,Safidon,Safidon#Jind,A,Safidon (Safidon),Safidon (Safidon)
82,DRSX4450,3,Kaithal,Guhla,Cheeka,Cheeka#Kaithal,A,Cheeka (Guhla),Guhla (Cheeka)
83,NZBZ9001,3,Kaithal,Fatehpur Pundri,Dhand,Dhand#Kaithal,A,Dhand (Fatehpur Pundri),Fatehpur Pundri (Dhand)
84,UUUT7751,3,Kaithal,Kaithal,Kaithal,Kaithal#Kaithal,A,Kaithal (Kaithal),Kaithal (Kaithal)
85,UTGR8640,3,Kaithal,Kaithal Sub-District,Kalayat,Kalayat#Kaithal,A,Kalayat (Kaithal Sub-District),Kaithal Sub-District (Kalayat)
86,HOOB8515,3,Kaithal,Fatehpur Pundri,Pundri,Pundri#Kaithal,A,Pundri (Fatehpur Pundri),Fatehpur Pundri (Pundri)
87,MUIQ6155,3,Karnal,Assandh,Asandh,Asandh#Karnal,A,Asandh (Assandh),Assandh (Asandh)
88,VYLC8800,3,Karnal,Gharaunda,Gharaunda,Gharaunda#Karnal,A,Gharaunda (Gharaunda),Gharaunda (Gharaunda)
89,SBJS3598,3,Karnal,Indri,Indri,Indri#Karnal,A,Indri (Indri),Indri (Indri)
90,TOKT1402,3,Karnal,Karnal Sub-District,Jundla,Jundla#Karnal,A,Jundla (Karnal Sub-District),Karnal Sub-District (Jundla)
91,OEEE3131,3,Karnal,Karnal,"New Grain Market(main), Karnal","New Grain Market(main), Karnal#Karnal",A,"New Grain Market(main), Karnal (Karnal)","Karnal (New Grain Market(main), Karnal)"
92,AWIN1733,3,Karnal,Nilokheri,Nilokheri,Nilokheri#Karnal,A,Nilokheri (Nilokheri),Nilokheri (Nilokheri)
93,OMSR2446,3,Karnal,Nilokheri Sub-District,Tarori,Tarori#Karnal,A,Tarori (Nilokheri Sub-District),Nilokheri Sub-District (Tarori)
94,GEDA9732,3,Kurukshetra,Thanesar Sub-District,Babain,Babain#Kurukshetra,A,Babain (Thanesar Sub-District),Thanesar Sub-District (Babain)
95,MRIG9177,3,Kurukshetra,Pehowa,Iamailabad,Iamailabad#Kurukshetra,A,Iamailabad (Pehowa),Pehowa (Iamailabad)
96,DFQO7514,3,Kurukshetra,Thanesar Sub-District,Ladwa,Ladwa#Kurukshetra,A,Ladwa (Thanesar Sub-District),Thanesar Sub-District (Ladwa)
97,QTGT1701,3,Kurukshetra,Pehowa,Pehowa,Pehowa#Kurukshetra,A,Pehowa (Pehowa),Pehowa (Pehowa)
98,ORWV3066,3,Kurukshetra,Shahabad,Shahabad,Shahabad#Kurukshetra,A,Shahabad (Shahabad),Shahabad (Shahabad)
99,YJIU9548,3,Kurukshetra,Kurukshetra,Thanesar,Thanesar#Kurukshetra,A,Thanesar (Kurukshetra),Kurukshetra (Thanesar)
100,EURN7416,3,Mahendragarh-Narnaul,Narnaul Sub-District,Ateli,Ateli#Mahendragarh-Narnaul,A,Ateli (Narnaul Sub-District),Narnaul Sub-District (Ateli)
101,YNVQ7403,3,Mahendragarh-Narnaul,Narnaul,Khanina,Khanina#Mahendragarh-Narnaul,A,Khanina (Narnaul),Narnaul (Khanina)
102,YDJP4488,3,Mahendragarh-Narnaul,Narnaul,Mohindergarh,Mohindergarh#Mahendragarh-Narnaul,A,Mohindergarh (Narnaul),Narnaul (Mohindergarh)
103,ZPNH7292,3,Mahendragarh-Narnaul,Narnaul,Narnaul,Narnaul#Mahendragarh-Narnaul,A,Narnaul (Narnaul),Narnaul (Narnaul)
104,JOKW7436,3,Mewat,Hathin,Hathin,Hathin#Mewat,A,Hathin (Hathin),Hathin (Hathin)
105,SSLC2299,3,Mewat,Nuh Sub-District,Nuh,Nuh#Mewat,A,Nuh (Nuh Sub-District),Nuh Sub-District (Nuh)
106,JKFV2975,3,Mewat,Punahana,Punhana,Punhana#Mewat,A,Punhana (Punahana),Punahana (Punhana)
107,WPXT6983,3,Mewat,Taoru,Taura,Taura#Mewat,A,Taura (Taoru),Taoru (Taura)
108,IZYA5283,3,Palwal,Hassanpur,Hassanpur,Hassanpur#Palwal,A,Hassanpur (Hassanpur),Hassanpur (Hassanpur)
109,RYFK4232,3,Palwal,Hodal,Hodal,Hodal#Palwal,A,Hodal (Hodal),Hodal (Hodal)
110,XDWS7410,3,Palwal,Palwal,Palwal,Palwal#Palwal,A,Palwal (Palwal),Palwal (Palwal)
111,SYXI5766,3,Panchkula,Panchkula Sub-District,Barwala,Barwala#Panchkula,A,Barwala (Panchkula Sub-District),Panchkula Sub-District (Barwala)
112,BIEP6037,3,Panchkula,Panchkula,Panchkula,Panchkula#Panchkula,A,Panchkula (Panchkula),Panchkula (Panchkula)
113,ZIRQ7525,3,Panchkula,Panchkula Sub-District,Raipur Rai,Raipur Rai#Panchkula,A,Raipur Rai (Panchkula Sub-District),Panchkula Sub-District (Raipur Rai)
114,QREA8918,3,Panipat,Samalkha Sub-District,Bapauli,Bapauli#Panipat,A,Bapauli (Samalkha Sub-District),Samalkha Sub-District (Bapauli)
115,IPYF3319,3,Panipat,Israna,Israna,Israna#Panipat,A,Israna (Israna),Israna (Israna)
116,SLOD2713,3,Panipat,Panipat Sub-District,Madlauda,Madlauda#Panipat,A,Madlauda (Panipat Sub-District),Panipat Sub-District (Madlauda)
117,JJQA8051,3,Panipat,Panipat,Panipat,Panipat#Panipat,A,Panipat (Panipat),Panipat (Panipat)
118,LENQ8228,3,Panipat,Samalkha,Samalkha,Samalkha#Panipat,A,Samalkha (Samalkha),Samalkha (Samalkha)
119,DKHY4545,3,Rewari,Kosli,Kosli,Kosli#Rewari,A,Kosli (Kosli),Kosli (Kosli)
120,KFUL5009,3,Rewari,Rewari,Rewari,Rewari#Rewari,A,Rewari (Rewari),Rewari (Rewari)
121,TDFU5469,3,Rohtak,Maham,Meham,Meham#Rohtak,A,Meham (Maham),Maham (Meham)
122,EOYC3444,3,Rohtak,Rohtak,"New Grain Market , Rohtak","New Grain Market , Rohtak#Rohtak",A,"New Grain Market , Rohtak (Rohtak)","Rohtak (New Grain Market , Rohtak)"
123,UKQL2832,3,Rohtak,Rohtak,Rohtak,Rohtak#Rohtak,A,Rohtak (Rohtak),Rohtak (Rohtak)
124,RPMG9372,3,Rohtak,Sampla,Sampla,Sampla#Rohtak,A,Sampla (Sampla),Sampla (Sampla)
125,LXSB3126,3,Sirsa,Malout Sub-District,Dabwali,Dabwali#Sirsa,A,Dabwali (Malout Sub-District),Malout Sub-District (Dabwali)
126,YREG3551,3,Sirsa,Ellenabad,Ellanabad,Ellanabad#Sirsa,A,Ellanabad (Ellenabad),Ellenabad (Ellanabad)
127,JIUV5416,3,Sirsa,Rania,Rania,Rania#Sirsa,A,Rania (Rania),Rania (Rania)
128,SUHK4382,3,Sirsa,Sirsa,Sirsa,Sirsa#Sirsa,A,Sirsa (Sirsa),Sirsa (Sirsa)
129,JLWK1834,3,Sirsa,Kalanwali,kalanwali,kalanwali#Sirsa,A,kalanwali (Kalanwali),Kalanwali (kalanwali)
130,NPDG2528,3,Sonipat,Ganaur,Ganaur,Ganaur#Sonipat,A,Ganaur (Ganaur),Ganaur (Ganaur)
131,DAGF1849,3,Sonipat,Gohana,Gohana,Gohana#Sonipat,A,Gohana (Gohana),Gohana (Gohana)
132,HDGY5245,3,Sonipat,Sonipat,Sonepat,Sonepat#Sonipat,A,Sonepat (Sonipat),Sonipat (Sonepat)
133,IDHY8070,3,Sonipat,Kharkhoda,Sonepat(Kharkhoda),Sonepat(Kharkhoda)#Sonipat,A,Sonepat(Kharkhoda) (Kharkhoda),Kharkhoda (Sonepat(Kharkhoda))
134,QPET6819,3,Yamuna Nagar,Bilaspur,Bilaspur,Bilaspur#Yamuna Nagar,A,Bilaspur (Bilaspur),Bilaspur (Bilaspur)
135,PIYI6288,3,Yamuna Nagar,Chhachhrauli,Chhachhrauli(Khizrabad),Chhachhrauli(Khizrabad)#Yamuna Nagar,A,Chhachhrauli(Khizrabad) (Chhachhrauli),Chhachhrauli (Chhachhrauli(Khizrabad))
136,BTEE5151,3,Yamuna Nagar,Chhachhrauli,Chhachrauli,Chhachrauli#Yamuna Nagar,A,Chhachrauli (Chhachhrauli),Chhachhrauli (Chhachrauli)
137,ACYS9490,3,Yamuna Nagar,Yamunanagar,Jagadhri,Jagadhri#Yamuna Nagar,A,Jagadhri (Yamunanagar),Yamunanagar (Jagadhri)
138,RGSO5859,3,Yamuna Nagar,Jagadhri,Mustafabad,Mustafabad#Yamuna Nagar,A,Mustafabad (Jagadhri),Jagadhri (Mustafabad)
139,QDPK2573,3,Yamuna Nagar,Jagadhri,Radaur,Radaur#Yamuna Nagar,A,Radaur (Jagadhri),Jagadhri (Radaur)
140,GORY7786,3,Yamuna Nagar,Bilaspur,Sadhaura,Sadhaura#Yamuna Nagar,A,Sadhaura (Bilaspur),Bilaspur (Sadhaura)
141,EXKN4881,3,Yamuna Nagar,Yamunanagar,Yamuna Nagar,Yamuna Nagar#Yamuna Nagar,A,Yamuna Nagar (Yamunanagar),Yamunanagar (Yamuna Nagar)
142,IMTW9679,6,Bilaspur,Namhol,Namhol(Bilaspur),Namhol(Bilaspur)#Bilaspur,A,Namhol(Bilaspur) (Namhol),Namhol (Namhol(Bilaspur))
143,KEAS9174,6,Chamba,Chamba,Chamba,Chamba#Chamba,A,Chamba (Chamba),Chamba (Chamba)
